url,id,collectionId,name,locationTypeName
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/353","353","rise","Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/357","357","rise","Guernsey Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/365","365","rise","Heron Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/369","369","rise","Horsetooth Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/370","370","rise","Huntington North Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/372","372","rise","Hyrum Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/378","378","rise","Jackson Gulch Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/379","379","rise","Jamestown Dam and Reservoir","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/381","381","rise","Jemez Canyon Reservoir","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/383","383","rise","Joes Valley Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/384","384","rise","Jordanelle Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/387","387","rise","Keswick Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/388","388","rise","Keyhole Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/390","390","rise","Keith Sebelius Lake and Norton Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/391","391","rise","Kirwin Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/392","392","rise","Lake Nighthorse and Ridges Basin Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/393","393","rise","Lake Powell Glen Canyon Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/394","394","rise","Little Lake Alice Reservoir","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/395","395","rise","Lemon Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/396","396","rise","Lake Elwell and Tiber Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/397","397","rise","Lewiston Lake Dam and Powerplant ","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/398","398","rise","Lima Reservoir Upstream of Clark Canyon Reservoir","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/399","399","rise","Lake Minatare and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/400","400","rise","Lost Creek Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/402","402","rise","Lake Tschida and Heart Butte Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/404","404","rise","Lovewell Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/408","408","rise","Mcgee Creek Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/410","410","rise","Mcphee Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/411","411","rise","Meeks Cabin Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/413","413","rise","Millerton Lake and Friant Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/416","416","rise","Moon Lake Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/417","417","rise","Morrow Point Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/418","418","rise","Merritt Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/419","419","rise","Mount Elbert Forebay Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/421","421","rise","Lake Nasworthy and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/422","422","rise","Lake Natoma Nimbus Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/423","423","rise","Navajo Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/424","424","rise","Nelson Reservoir and Nelson Dikes","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/425","425","rise","Newton Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/429","429","rise","Lake Estes and Olympus Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/431","431","rise","Paonia Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/433","433","rise","Pathfinder Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/435","435","rise","Pilot Butte Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/437","437","rise","Pineview Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/438","438","rise","Pinewood Reservoir and Rattlesnake Dam ","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/443","443","rise","Pishkun Reservoir and Dikes","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/444","444","rise","Pactola Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/445","445","rise","Pueblo Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/447","447","rise","Red Fleet Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/448","448","rise","Ridgway Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/453","453","rise","Rockport Reservoir and Wanship Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/456","456","rise","Ruedi Reservoir and Dam ","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/458","458","rise","Santa Rosa Lake and Reservoir","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/466","466","rise","Scofield Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/467","467","rise","Seminoe Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/471","471","rise","Shasta Lake Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/473","473","rise","Shadow Mountain Lake and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/475","475","rise","Lake Sherburne and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/476","476","rise","Shadehill Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/477","477","rise","Silver Jack Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/483","483","rise","Sun River Diversion Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/484","484","rise","Starvation Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/485","485","rise","Stateline Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/486","486","rise","Steinaker Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/488","488","rise","Strawberry Reservoir and Soldier Creek Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/489","489","rise","Lake Sumner and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/490","490","rise","Swift Dam and Reservoir","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/491","491","rise","Taylor Park Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/498","498","rise","Turquoise Lake and Sugar Loaf Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/499","499","rise","Twin Lakes Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/500","500","rise","Upper Stillwater Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/501","501","rise","Vallecito Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/504","504","rise","Waconda Lake and Glen Elder Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/506","506","rise","Webster Reservoir and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/507","507","rise","Winters Creek Lake","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/508","508","rise","Willow Creek Reservoir and Dam (MT)","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/509","509","rise","Whiskeytown Lake and Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/512","512","rise","Willard Bay Reservoir and Arthur V Watkins Dam","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/515","515","rise","Willow Creek Reservoir and Dam (CO)","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/1533","1533","rise","Blue Mesa Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/1534","1534","rise","Crystal Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/1535","1535","rise","Flaming Gorge Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/1536","1536","rise","Fontenelle Reservoir Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3091","3091","rise","Western US","Administrative Boundary"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3122","3122","rise","Lower Colorado River Multi-Species Conservation Program Planning Area","Survey Area"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3125","3125","rise","Confluence of Sacramento River and Stoney Creek","Confluence"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3177","3177","rise","Confluence of Sacramento River and Thomas Creek","Confluence"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3178","3178","rise","Sacramento River diversion to Glenn-Colusa Canal","Diversion"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3180","3180","rise","Sacramento River at River Mile 182","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3181","3181","rise","Sacramento River at River Mile 178","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3182","3182","rise","Sacramento River at River Mile 168","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3183","3183","rise","Sacramento River at River Mile 162","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3184","3184","rise","Maxwell Pump Station","Pumping Plant Unit"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3185","3185","rise","Sacramento River at Tisdale Weir","Weir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3186","3186","rise","Wilkins Slough diversion to RD108","Diversion"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3187","3187","rise","Pelger Pump Station","Pumping Plant Unit"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3188","3188","rise","Sacramento River at River Mile 106","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3189","3189","rise","Sacramento River at Knights Landing","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3190","3190","rise","Confluence of Sacramento and Feather Rivers","Confluence"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3191","3191","rise","Sacramento River diversion to Natomas Central MWC","Diversion"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3192","3192","rise","Sacramento River at Sacramento Weir","Weir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3193","3193","rise","Confluence of Sacramento and American Rivers","Confluence"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3194","3194","rise","Sacramento River at River Mile 57","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3195","3195","rise","Sacramento River at River Mile 53","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3196","3196","rise","Sacramento River at River Mile 48","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3198","3198","rise","Old and Middle Rivers diversion to Banks and Jones Pumping Stations","Diversion"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3199","3199","rise","Clifton Court Forebay","Forebay"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3200","3200","rise","Lake Oroville","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3201","3201","rise","Sacramento River at Hood","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3203","3203","rise","Trinity Lake Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3204","3204","rise","New Melones Lake Dam and Powerplant","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3205","3205","rise","Abiquiu Lake","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3206","3206","rise","Utah Lake ","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3207","3207","rise","Washington Lake","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3208","3208","rise","Trial Lake","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3209","3209","rise","Lost Lake","Lake/Reservoir"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3210","3210","rise","San Joaquin River below Friant Dam at Lost Lake Park","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3211","3211","rise","Stanislaus River below New Melones Dam","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3212","3212","rise","Friant-Kern Canal at Pond Road Mile Post 122","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3213","3213","rise","Coyote Pumping Plant Inflow from San Luis Reservoir","Pipe/Spigot"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3214","3214","rise","Putah Creek below Monticello Dam","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3215","3215","rise","Humboldt River below Rye Patch Dam","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3216","3216","rise","Little Truckee River below Boca Reservoir","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3217","3217","rise","American River at Negro Bar","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3218","3218","rise","Trinity River at Lewiston","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3219","3219","rise","Clear Creek below Whiskeytown","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3220","3220","rise","Sacramento River below Keswick Dam","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3221","3221","rise","American River at Head Waters of Folsom South Canal","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3222","3222","rise","Folsom Lake on Dam Face","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3223","3223","rise","California Aqueduct at Check 13","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3224","3224","rise","Folsom South Canal at Grantline Road","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3225","3225","rise","Sacramento River at Freeport","River/Stream"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3226","3226","rise","Sacramento River at Red Bluff Forebay","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3227","3227","rise","Coalinga Canal","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3228","3228","rise","Friant Kern Canal Terminus at Calloway Avenue","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3229","3229","rise","Coyote Pumping Plant in Morgan Hill","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3230","3230","rise","Friant Kern Canal at Woollomes Avenue","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3231","3231","rise","Friant Kern Canal at Millerton Dam","Canal"
"https://api.wwdh.internetofwater.app/collections/rise-edr/items/3232","3232","rise","Main Canal at Bass Avenue","Canal"
